imie,nazwisko,miasto,ulica,nr_domu,nr_mieszkania
Amelia,Nijak,Plonsk,Starsza,91,127
Kamil,Abac,Bydgoszcz,Nowsza,45,135
Bartek,Nowak,Bydgoszcz,Stara,39,15
Kamil,Jakios,Chelmno,Nowsza,71,133
Amelia,Nijak,Plonsk,Starsza,6,18
Amelia,Abac,Warszawa,Nowa,36,107
Bartek,Nowak,Plonsk,Nowa,62,85
Jan,Abac,Warszawa,Nowa,99,50
Bartek,Nowak,Bydgoszcz,Stara,32,87
Kamil,Jakios,Chelmno,Nowsza,94,124
Amelia,Nijak,Plonsk,Starsza,69,97
Bartek,Nijak,Warszawa,Nowa,87,100
Bartek,Nowak,Bydgoszcz,Stara,37,114
Kamil,Jakios,Chelmno,Nowsza,51,144
Amelia,Nijak,Plonsk,Starsza,87,117
Jan,Nowak,Bydgoszcz,Stara,88,43
Bartek,Nowak,Chelmno,Nowsza,26,90
Jan,Abac,Warszawa,Nowa,92,97
Bartek,Nowak,Bydgoszcz,Stara,67,71
Kamil,Jakios,Chelmno,Nowsza,47,14
Amelia,Nijak,Plonsk,Starsza,41,51
Bartek,Jakios,Plonsk,Starsza,24,131
Bartek,Nowak,Bydgoszcz,Stara,8,1
Kamil,Jakios,Chelmno,Nowsza,38,124
Amelia,Nijak,Plonsk,Starsza,9,10
Jan,Nowak,Bydgoszcz,Nowsza,13,122
Amelia,Nowak,Plonsk,Starsza,27,143
Jan,Abac,Warszawa,Nowa,91,122
Bartek,Nowak,Bydgoszcz,Stara,100,45
Kamil,Jakios,Chelmno,Nowsza,99,66
Amelia,Nijak,Plonsk,Starsza,44,5
Kamil,Abac,Bydgoszcz,Nowsza,72,114
Bartek,Nowak,Bydgoszcz,Stara,59,112
Kamil,Jakios,Chelmno,Nowsza,9,123
Amelia,Nijak,Plonsk,Starsza,75,16
Amelia,Nijak,Bydgoszcz,Nowsza,63,86
Jan,Nijak,Chelmno,Nowa,16,103
Jan,Abac,Warszawa,Nowa,8,67
Bartek,Nowak,Bydgoszcz,Stara,75,9
Kamil,Jakios,Chelmno,Nowsza,4,51
Amelia,Nijak,Plonsk,Starsza,76,129
Jan,Jakios,Warszawa,Nowsza,81,13
Bartek,Nowak,Bydgoszcz,Stara,94,15
Kamil,Jakios,Chelmno,Nowsza,19,25
Amelia,Nijak,Plonsk,Starsza,90,72
Jan,Abac,Chelmno,Nowsza,87,28
Kamil,Nijak,Chelmno,Nowa,15,74
Jan,Abac,Warszawa,Nowa,85,88
Bartek,Nowak,Bydgoszcz,Stara,5,42
Kamil,Jakios,Chelmno,Nowsza,44,82
Amelia,Nijak,Plonsk,Starsza,87,28
Bartek,Nowak,Warszawa,Nowsza,30,29
Bartek,Nowak,Bydgoszcz,Stara,20,87
Kamil,Jakios,Chelmno,Nowsza,54,28
Amelia,Nijak,Plonsk,Starsza,97,102
Kamil,Jakios,Warszawa,Starsza,32,149
Bartek,Nowak,Plonsk,Stara,52,125
Jan,Abac,Warszawa,Nowa,52,32
Bartek,Nowak,Bydgoszcz,Stara,67,75
Kamil,Jakios,Chelmno,Nowsza,26,84
Amelia,Nijak,Plonsk,Starsza,84,21
Amelia,Nowak,Warszawa,Starsza,49,62
Bartek,Nowak,Bydgoszcz,Stara,88,142
Kamil,Jakios,Chelmno,Nowsza,94,20
Amelia,Nijak,Plonsk,Starsza,24,45
Kamil,Nijak,Warszawa,Nowa,79,19
Kamil,Abac,Plonsk,Nowa,43,120
Jan,Abac,Warszawa,Nowa,50,52
Bartek,Nowak,Bydgoszcz,Stara,35,51
Kamil,Jakios,Chelmno,Nowsza,89,88
Amelia,Nijak,Plonsk,Starsza,35,1
Kamil,Abac,Bydgoszcz,Starsza,77,48
Bartek,Nowak,Bydgoszcz,Stara,93,107
Kamil,Jakios,Chelmno,Nowsza,41,149
Amelia,Nijak,Plonsk,Starsza,76,113
Bartek,Abac,Chelmno,Nowa,64,4
Kamil,Abac,Plonsk,Stara,7,82
Jan,Abac,Warszawa,Nowa,89,143
Bartek,Nowak,Bydgoszcz,Stara,95,21
Kamil,Jakios,Chelmno,Nowsza,26,140
Amelia,Nijak,Plonsk,Starsza,4,122
Bartek,Abac,Bydgoszcz,Nowsza,90,103
Bartek,Nowak,Bydgoszcz,Stara,85,12
Kamil,Jakios,Chelmno,Nowsza,81,50
Amelia,Nijak,Plonsk,Starsza,48,82
Jan,Nijak,Plonsk,Nowa,64,55
Kamil,Nijak,Chelmno,Starsza,48,94
Jan,Abac,Warszawa,Nowa,41,22
Bartek,Nowak,Bydgoszcz,Stara,37,137
Kamil,Jakios,Chelmno,Nowsza,43,22
Amelia,Nijak,Plonsk,Starsza,47,140
Kamil,Jakios,Plonsk,Nowa,83,142
Bartek,Nowak,Bydgoszcz,Stara,40,105
Kamil,Jakios,Chelmno,Nowsza,64,102
Amelia,Nijak,Plonsk,Starsza,38,48
Bartek,Nowak,Warszawa,Nowa,19,101
Jan,Jakios,Chelmno,Nowsza,56,22
Jan,Abac,Warszawa,Nowa,43,27
Bartek,Nowak,Bydgoszcz,Stara,10,140
Kamil,Jakios,Chelmno,Nowsza,56,13
Amelia,Nijak,Plonsk,Starsza,13,75
Amelia,Abac,Chelmno,Nowa,80,136
Bartek,Nowak,Bydgoszcz,Stara,82,124
Kamil,Jakios,Chelmno,Nowsza,48,49
Amelia,Nijak,Plonsk,Starsza,23,68
Jan,Jakios,Bydgoszcz,Nowsza,75,42
Bartek,Nijak,Plonsk,Starsza,72,17
Jan,Abac,Warszawa,Nowa,9,104
Bartek,Nowak,Bydgoszcz,Stara,14,146
Kamil,Jakios,Chelmno,Nowsza,8,122
Amelia,Nijak,Plonsk,Starsza,41,34
Amelia,Nijak,Chelmno,Stara,49,88
Bartek,Nowak,Bydgoszcz,Stara,94,34
Kamil,Jakios,Chelmno,Nowsza,40,147
Amelia,Nijak,Plonsk,Starsza,25,76
Bartek,Nowak,Warszawa,Nowsza,55,4
Amelia,Jakios,Warszawa,Nowa,84,24
Jan,Abac,Warszawa,Nowa,51,52
Bartek,Nowak,Bydgoszcz,Stara,4,99
Kamil,Jakios,Chelmno,Nowsza,42,90
Amelia,Nijak,Plonsk,Starsza,61,89
Amelia,Nijak,Plonsk,Starsza,22,65
Bartek,Nowak,Bydgoszcz,Stara,17,7
Kamil,Jakios,Chelmno,Nowsza,52,47
Amelia,Nijak,Plonsk,Starsza,88,140
Jan,Nijak,Chelmno,Nowa,63,10
Jan,Nijak,Chelmno,Stara,35,44
Jan,Abac,Warszawa,Nowa,63,41
Bartek,Nowak,Bydgoszcz,Stara,50,115
Kamil,Jakios,Chelmno,Nowsza,63,15
Amelia,Nijak,Plonsk,Starsza,16,29
Kamil,Nowak,Plonsk,Nowa,49,34
Bartek,Nowak,Bydgoszcz,Stara,30,103
Kamil,Jakios,Chelmno,Nowsza,15,108
Amelia,Nijak,Plonsk,Starsza,63,82
Amelia,Jakios,Bydgoszcz,Stara,55,21
Amelia,Jakios,Warszawa,Nowsza,27,137
Jan,Abac,Warszawa,Nowa,22,111
Bartek,Nowak,Bydgoszcz,Stara,75,53
Kamil,Jakios,Chelmno,Nowsza,99,102
Amelia,Nijak,Plonsk,Starsza,95,90
Bartek,Nijak,Warszawa,Nowsza,87,3
Bartek,Nowak,Bydgoszcz,Stara,31,109
Kamil,Jakios,Chelmno,Nowsza,81,114
Amelia,Nijak,Plonsk,Starsza,93,128
Kamil,Nowak,Chelmno,Nowa,68,102
Kamil,Jakios,Chelmno,Nowa,59,106
Jan,Abac,Warszawa,Nowa,29,93
Bartek,Nowak,Bydgoszcz,Stara,36,115
Kamil,Jakios,Chelmno,Nowsza,51,95
Amelia,Nijak,Plonsk,Starsza,6,6
Bartek,Nowak,Bydgoszcz,Nowsza,67,91
Bartek,Nowak,Bydgoszcz,Stara,71,104
Kamil,Jakios,Chelmno,Nowsza,3,114
Amelia,Nijak,Plonsk,Starsza,37,110
Kamil,Abac,Warszawa,Nowa,19,42
Amelia,Jakios,Warszawa,Nowsza,50,145
Jan,Abac,Warszawa,Nowa,84,82
Bartek,Nowak,Bydgoszcz,Stara,14,49
Kamil,Jakios,Chelmno,Nowsza,36,125
Amelia,Nijak,Plonsk,Starsza,58,56
Kamil,Nowak,Bydgoszcz,Stara,31,148
Bartek,Nowak,Bydgoszcz,Stara,28,142
Kamil,Jakios,Chelmno,Nowsza,69,80
Amelia,Nijak,Plonsk,Starsza,79,5
Amelia,Nowak,Chelmno,Starsza,72,88
Amelia,Nowak,Plonsk,Nowsza,24,37
Jan,Abac,Warszawa,Nowa,14,43
Bartek,Nowak,Bydgoszcz,Stara,89,119
Kamil,Jakios,Chelmno,Nowsza,58,8
Amelia,Nijak,Plonsk,Starsza,9,15
Kamil,Jakios,Bydgoszcz,Stara,40,26
Bartek,Nowak,Bydgoszcz,Stara,19,18
Kamil,Jakios,Chelmno,Nowsza,40,75
Amelia,Nijak,Plonsk,Starsza,69,119
Jan,Abac,Chelmno,Nowa,53,141
Kamil,Nowak,Chelmno,Nowa,11,71
Jan,Abac,Warszawa,Nowa,54,66
Bartek,Nowak,Bydgoszcz,Stara,86,82
Kamil,Jakios,Chelmno,Nowsza,93,85
Amelia,Nijak,Plonsk,Starsza,44,144
Amelia,Jakios,Plonsk,Nowa,7,13
Bartek,Nowak,Bydgoszcz,Stara,88,143
Kamil,Jakios,Chelmno,Nowsza,37,4
Amelia,Nijak,Plonsk,Starsza,89,6
Jan,Abac,Bydgoszcz,Nowsza,27,48
Amelia,Jakios,Chelmno,Stara,76,82
Jan,Abac,Warszawa,Nowa,70,52
Bartek,Nowak,Bydgoszcz,Stara,95,102
Kamil,Jakios,Chelmno,Nowsza,56,73
Amelia,Nijak,Plonsk,Starsza,79,108
Amelia,Abac,Plonsk,Starsza,89,143
Bartek,Nowak,Bydgoszcz,Stara,8,108
Kamil,Jakios,Chelmno,Nowsza,67,80
Amelia,Nijak,Plonsk,Starsza,72,74
Bartek,Nijak,Bydgoszcz,Stara,29,68
Jan,Jakios,Warszawa,Starsza,13,76
Jan,Abac,Warszawa,Nowa,5,75
Bartek,Nowak,Bydgoszcz,Stara,88,123
Kamil,Jakios,Chelmno,Nowsza,79,98
Amelia,Nijak,Plonsk,Starsza,42,147
Amelia,Nijak,Chelmno,Nowsza,9,118
Bartek,Nowak,Bydgoszcz,Stara,81,15
Kamil,Jakios,Chelmno,Nowsza,28,70
Amelia,Nijak,Plonsk,Starsza,69,140
Jan,Nowak,Plonsk,Stara,87,42
Jan,Abac,Chelmno,Starsza,25,145
Jan,Abac,Warszawa,Nowa,37,72
Bartek,Nowak,Bydgoszcz,Stara,29,21
Kamil,Jakios,Chelmno,Nowsza,93,142
Amelia,Nijak,Plonsk,Starsza,85,114
Kamil,Nijak,Warszawa,Nowa,83,117
Bartek,Nowak,Bydgoszcz,Stara,98,138
Kamil,Jakios,Chelmno,Nowsza,49,58
Amelia,Nijak,Plonsk,Starsza,62,89
Amelia,Nowak,Chelmno,Starsza,18,98
Bartek,Jakios,Chelmno,Starsza,87,35
Jan,Abac,Warszawa,Nowa,84,122
Bartek,Nowak,Bydgoszcz,Stara,3,45
Kamil,Jakios,Chelmno,Nowsza,35,57
Amelia,Nijak,Plonsk,Starsza,57,76
Kamil,Nowak,Bydgoszcz,Nowa,85,93
Bartek,Nowak,Bydgoszcz,Stara,41,19
Kamil,Jakios,Chelmno,Nowsza,39,30
Amelia,Nijak,Plonsk,Starsza,93,13
Jan,Nijak,Plonsk,Nowsza,82,35
Jan,Nowak,Bydgoszcz,Stara,36,31
Jan,Abac,Warszawa,Nowa,11,121
Bartek,Nowak,Bydgoszcz,Stara,28,132
Kamil,Jakios,Chelmno,Nowsza,6,92
Amelia,Nijak,Plonsk,Starsza,85,103
Kamil,Jakios,Bydgoszcz,Starsza,13,52
Bartek,Nowak,Bydgoszcz,Stara,55,70
Kamil,Jakios,Chelmno,Nowsza,32,30
Amelia,Nijak,Plonsk,Starsza,98,79
Amelia,Jakios,Warszawa,Nowa,54,100
Jan,Abac,Chelmno,Nowsza,80,86
Jan,Abac,Warszawa,Nowa,6,47
Bartek,Nowak,Bydgoszcz,Stara,12,9
Kamil,Jakios,Chelmno,Nowsza,49,107
Amelia,Nijak,Plonsk,Starsza,43,138
Jan,Nowak,Chelmno,Nowa,18,95
Bartek,Nowak,Bydgoszcz,Stara,14,58
Kamil,Jakios,Chelmno,Nowsza,94,51
Amelia,Nijak,Plonsk,Starsza,54,77
Kamil,Abac,Warszawa,Nowa,91,141
Bartek,Nowak,Chelmno,Nowa,37,130
Jan,Abac,Warszawa,Nowa,47,32
Bartek,Nowak,Bydgoszcz,Stara,49,70
Kamil,Jakios,Chelmno,Nowsza,28,142
Amelia,Nijak,Plonsk,Starsza,40,50
Jan,Jakios,Warszawa,Nowa,98,53
Bartek,Nowak,Bydgoszcz,Stara,20,50
Kamil,Jakios,Chelmno,Nowsza,23,137
Amelia,Nijak,Plonsk,Starsza,37,119
Amelia,Nijak,Warszawa,Nowa,23,40
Jan,Jakios,Warszawa,Nowsza,44,139
Jan,Abac,Warszawa,Nowa,77,127
Bartek,Nowak,Bydgoszcz,Stara,85,71
Kamil,Jakios,Chelmno,Nowsza,31,89
Amelia,Nijak,Plonsk,Starsza,96,4
Kamil,Abac,Warszawa,Nowsza,49,33
Bartek,Nowak,Bydgoszcz,Stara,35,56
Kamil,Jakios,Chelmno,Nowsza,60,114
Amelia,Nijak,Plonsk,Starsza,95,95
Amelia,Jakios,Bydgoszcz,Stara,41,87
Jan,Jakios,Warszawa,Nowsza,75,29
Jan,Abac,Warszawa,Nowa,69,83
Bartek,Nowak,Bydgoszcz,Stara,44,52
Kamil,Jakios,Chelmno,Nowsza,67,150
Amelia,Nijak,Plonsk,Starsza,27,80
Amelia,Nijak,Warszawa,Stara,71,29
Bartek,Nowak,Bydgoszcz,Stara,8,68
Kamil,Jakios,Chelmno,Nowsza,60,19
Amelia,Nijak,Plonsk,Starsza,93,80
Kamil,Jakios,Warszawa,Nowa,16,71
Amelia,Nijak,Bydgoszcz,Stara,58,133
Jan,Abac,Warszawa,Nowa,42,90
Bartek,Nowak,Bydgoszcz,Stara,21,84
Kamil,Jakios,Chelmno,Nowsza,98,40
Amelia,Nijak,Plonsk,Starsza,19,99
Amelia,Nowak,Bydgoszcz,Nowa,9,111
Bartek,Nowak,Bydgoszcz,Stara,18,55
Kamil,Jakios,Chelmno,Nowsza,53,125
Amelia,Nijak,Plonsk,Starsza,90,48
Amelia,Nijak,Warszawa,Starsza,70,23
Kamil,Nijak,Bydgoszcz,Stara,33,132
Jan,Abac,Warszawa,Nowa,80,69
Bartek,Nowak,Bydgoszcz,Stara,6,17
Kamil,Jakios,Chelmno,Nowsza,11,18
Amelia,Nijak,Plonsk,Starsza,90,45
Amelia,Abac,Plonsk,Nowa,60,77
Bartek,Nowak,Bydgoszcz,Stara,52,42
Kamil,Jakios,Chelmno,Nowsza,100,88
Amelia,Nijak,Plonsk,Starsza,52,24
Kamil,Jakios,Chelmno,Nowa,10,136
Kamil,Nowak,Chelmno,Starsza,5,4
Jan,Abac,Warszawa,Nowa,16,99
Bartek,Nowak,Bydgoszcz,Stara,7,109
Kamil,Jakios,Chelmno,Nowsza,71,19
Amelia,Nijak,Plonsk,Starsza,76,150
Amelia,Jakios,Warszawa,Stara,68,129
Bartek,Nowak,Bydgoszcz,Stara,34,98
Kamil,Jakios,Chelmno,Nowsza,27,6
Amelia,Nijak,Plonsk,Starsza,13,104
Jan,Nijak,Bydgoszcz,Starsza,67,86
Jan,Nowak,Plonsk,Nowa,7,118
Jan,Abac,Warszawa,Nowa,11,55
Bartek,Nowak,Bydgoszcz,Stara,92,92
Kamil,Jakios,Chelmno,Nowsza,68,90
Amelia,Nijak,Plonsk,Starsza,94,66
Amelia,Nijak,Plonsk,Stara,87,110
Bartek,Nowak,Bydgoszcz,Stara,37,8
Kamil,Jakios,Chelmno,Nowsza,2,9
Amelia,Nijak,Plonsk,Starsza,52,94
Amelia,Jakios,Warszawa,Nowsza,72,51
Bartek,Nowak,Bydgoszcz,Nowsza,78,125
Jan,Abac,Warszawa,Nowa,89,112
Bartek,Nowak,Bydgoszcz,Stara,1,16
Kamil,Jakios,Chelmno,Nowsza,81,19
Amelia,Nijak,Plonsk,Starsza,19,19
Bartek,Abac,Bydgoszcz,Stara,53,7
Bartek,Nowak,Bydgoszcz,Stara,31,38
Kamil,Jakios,Chelmno,Nowsza,16,57
Amelia,Nijak,Plonsk,Starsza,80,141
Amelia,Abac,Chelmno,Nowa,78,11
Jan,Jakios,Plonsk,Stara,25,3
Jan,Abac,Warszawa,Nowa,68,147
Bartek,Nowak,Bydgoszcz,Stara,37,45
Kamil,Jakios,Chelmno,Nowsza,67,80
Amelia,Nijak,Plonsk,Starsza,15,84
Jan,Nijak,Plonsk,Nowa,82,102
Bartek,Nowak,Bydgoszcz,Stara,86,127
Kamil,Jakios,Chelmno,Nowsza,83,80
Amelia,Nijak,Plonsk,Starsza,46,72
Jan,Jakios,Plonsk,Nowsza,59,117
Amelia,Jakios,Chelmno,Stara,9,49
Jan,Abac,Warszawa,Nowa,20,26
Bartek,Nowak,Bydgoszcz,Stara,78,118
Kamil,Jakios,Chelmno,Nowsza,96,77
Amelia,Nijak,Plonsk,Starsza,68,101
Amelia,Abac,Chelmno,Stara,38,7
Bartek,Nowak,Bydgoszcz,Stara,77,127
Kamil,Jakios,Chelmno,Nowsza,95,142
Amelia,Nijak,Plonsk,Starsza,46,142
Bartek,Nowak,Bydgoszcz,Starsza,89,88
Amelia,Jakios,Chelmno,Nowa,15,7
Jan,Abac,Warszawa,Nowa,83,107
Bartek,Nowak,Bydgoszcz,Stara,36,149
Kamil,Jakios,Chelmno,Nowsza,60,25
Amelia,Nijak,Plonsk,Starsza,95,107
Jan,Nijak,Chelmno,Nowsza,74,133
Bartek,Nowak,Bydgoszcz,Stara,95,7
Kamil,Jakios,Chelmno,Nowsza,86,29
Amelia,Nijak,Plonsk,Starsza,52,41
Amelia,Nowak,Chelmno,Nowsza,84,37
Kamil,Abac,Warszawa,Starsza,2,37
Jan,Abac,Warszawa,Nowa,28,106
Bartek,Nowak,Bydgoszcz,Stara,55,73
Kamil,Jakios,Chelmno,Nowsza,85,131
Amelia,Nijak,Plonsk,Starsza,97,63
Bartek,Nijak,Plonsk,Nowa,61,89
Bartek,Nowak,Bydgoszcz,Stara,6,71
Kamil,Jakios,Chelmno,Nowsza,23,99
Amelia,Nijak,Plonsk,Starsza,23,63
Kamil,Nowak,Chelmno,Nowa,52,104
Jan,Nijak,Plonsk,Starsza,11,14
Jan,Abac,Warszawa,Nowa,12,138
Bartek,Nowak,Bydgoszcz,Stara,64,17
Kamil,Jakios,Chelmno,Nowsza,84,49
Amelia,Nijak,Plonsk,Starsza,55,74
Bartek,Jakios,Chelmno,Stara,39,97
Bartek,Nowak,Bydgoszcz,Stara,63,55
Kamil,Jakios,Chelmno,Nowsza,10,128
Amelia,Nijak,Plonsk,Starsza,80,15
Kamil,Nowak,Bydgoszcz,Nowa,46,15
Amelia,Nowak,Plonsk,Nowa,35,124
Jan,Abac,Warszawa,Nowa,11,105
Bartek,Nowak,Bydgoszcz,Stara,34,126
Kamil,Jakios,Chelmno,Nowsza,67,40
Amelia,Nijak,Plonsk,Starsza,45,112
Jan,Nowak,Plonsk,Stara,76,58
Bartek,Nowak,Bydgoszcz,Stara,75,10
Kamil,Jakios,Chelmno,Nowsza,60,14
Amelia,Nijak,Plonsk,Starsza,15,71
Jan,Nijak,Bydgoszcz,Nowsza,22,81
Kamil,Abac,Warszawa,Stara,54,56
Jan,Abac,Warszawa,Nowa,63,134
Bartek,Nowak,Bydgoszcz,Stara,67,74
Kamil,Jakios,Chelmno,Nowsza,87,84
Amelia,Nijak,Plonsk,Starsza,80,119
Jan,Nowak,Warszawa,Nowa,96,121
Bartek,Nowak,Bydgoszcz,Stara,1,80
Kamil,Jakios,Chelmno,Nowsza,96,30
Amelia,Nijak,Plonsk,Starsza,11,82
Bartek,Abac,Warszawa,Nowsza,15,8
Jan,Abac,Chelmno,Stara,31,65
Jan,Abac,Warszawa,Nowa,22,29
Bartek,Nowak,Bydgoszcz,Stara,21,109
Kamil,Jakios,Chelmno,Nowsza,98,127
Amelia,Nijak,Plonsk,Starsza,43,40
Jan,Abac,Warszawa,Starsza,55,73
Bartek,Nowak,Bydgoszcz,Stara,32,64
Kamil,Jakios,Chelmno,Nowsza,71,139
Amelia,Nijak,Plonsk,Starsza,21,146
Bartek,Nowak,Plonsk,Starsza,20,27
Jan,Nowak,Chelmno,Stara,3,36
Jan,Abac,Warszawa,Nowa,92,112
Bartek,Nowak,Bydgoszcz,Stara,41,5
Kamil,Jakios,Chelmno,Nowsza,6,56
Amelia,Nijak,Plonsk,Starsza,29,83
Jan,Jakios,Chelmno,Starsza,56,89
Bartek,Nowak,Bydgoszcz,Stara,71,104
Kamil,Jakios,Chelmno,Nowsza,12,91
Amelia,Nijak,Plonsk,Starsza,51,83
Jan,Jakios,Warszawa,Stara,82,32
Jan,Nowak,Chelmno,Stara,100,70
Jan,Abac,Warszawa,Nowa,78,20
Bartek,Nowak,Bydgoszcz,Stara,18,49
Kamil,Jakios,Chelmno,Nowsza,6,55
Amelia,Nijak,Plonsk,Starsza,7,43
Jan,Nijak,Plonsk,Starsza,84,67
Bartek,Nowak,Bydgoszcz,Stara,86,93
Kamil,Jakios,Chelmno,Nowsza,40,150
Amelia,Nijak,Plonsk,Starsza,60,50
Kamil,Nijak,Plonsk,Nowa,19,128
Kamil,Nowak,Warszawa,Starsza,73,26
Jan,Abac,Warszawa,Nowa,94,118
Bartek,Nowak,Bydgoszcz,Stara,86,48
Kamil,Jakios,Chelmno,Nowsza,66,117
Amelia,Nijak,Plonsk,Starsza,33,100
Bartek,Abac,Chelmno,Starsza,66,25
Bartek,Nowak,Bydgoszcz,Stara,33,105
Kamil,Jakios,Chelmno,Nowsza,53,117
Amelia,Nijak,Plonsk,Starsza,40,37
Bartek,Nowak,Bydgoszcz,Stara,14,4
Bartek,Jakios,Warszawa,Nowa,24,70
Jan,Abac,Warszawa,Nowa,17,23
Bartek,Nowak,Bydgoszcz,Stara,69,41
Kamil,Jakios,Chelmno,Nowsza,93,35
Amelia,Nijak,Plonsk,Starsza,97,125
Jan,Nowak,Chelmno,Starsza,16,122
Bartek,Nowak,Bydgoszcz,Stara,74,112
Kamil,Jakios,Chelmno,Nowsza,7,129
Amelia,Nijak,Plonsk,Starsza,2,59
Jan,Jakios,Bydgoszcz,Nowsza,24,104
Amelia,Abac,Chelmno,Starsza,8,123
Jan,Abac,Warszawa,Nowa,19,28
Bartek,Nowak,Bydgoszcz,Stara,14,121
Kamil,Jakios,Chelmno,Nowsza,72,95
Amelia,Nijak,Plonsk,Starsza,40,83
Bartek,Nowak,Warszawa,Nowa,39,135
Bartek,Nowak,Bydgoszcz,Stara,12,141
Kamil,Jakios,Chelmno,Nowsza,41,100
Amelia,Nijak,Plonsk,Starsza,59,4
Amelia,Nijak,Plonsk,Nowsza,60,113
Kamil,Nijak,Warszawa,Stara,12,137
Jan,Abac,Warszawa,Nowa,32,124
Bartek,Nowak,Bydgoszcz,Stara,3,85
Kamil,Jakios,Chelmno,Nowsza,49,41
Amelia,Nijak,Plonsk,Starsza,94,4
Amelia,Abac,Chelmno,Nowa,55,20
Bartek,Nowak,Bydgoszcz,Stara,14,28
Kamil,Jakios,Chelmno,Nowsza,58,137
Amelia,Nijak,Plonsk,Starsza,32,84
Amelia,Jakios,Plonsk,Starsza,20,45
Jan,Nowak,Bydgoszcz,Starsza,99,30
Jan,Abac,Warszawa,Nowa,85,19
Bartek,Nowak,Bydgoszcz,Stara,54,104
Kamil,Jakios,Chelmno,Nowsza,82,52
Amelia,Nijak,Plonsk,Starsza,51,105
Amelia,Nowak,Warszawa,Stara,12,7
Bartek,Nowak,Bydgoszcz,Stara,3,127
Kamil,Jakios,Chelmno,Nowsza,61,38
Amelia,Nijak,Plonsk,Starsza,80,14
Amelia,Nijak,Chelmno,Stara,95,150
Jan,Abac,Warszawa,Nowsza,72,59
Jan,Abac,Warszawa,Nowa,6,36
Bartek,Nowak,Bydgoszcz,Stara,61,112
Kamil,Jakios,Chelmno,Nowsza,62,139
Amelia,Nijak,Plonsk,Starsza,33,52
Jan,Abac,Plonsk,Stara,99,7
Bartek,Nowak,Bydgoszcz,Stara,45,33
Kamil,Jakios,Chelmno,Nowsza,4,65
Amelia,Nijak,Plonsk,Starsza,48,42
Amelia,Nowak,Bydgoszcz,Starsza,21,46
Amelia,Nowak,Chelmno,Nowsza,58,5
Jan,Abac,Warszawa,Nowa,28,127
Bartek,Nowak,Bydgoszcz,Stara,8,149
Kamil,Jakios,Chelmno,Nowsza,37,27
Amelia,Nijak,Plonsk,Starsza,91,80
Bartek,Nowak,Warszawa,Stara,74,90
Bartek,Nowak,Bydgoszcz,Stara,93,148
Kamil,Jakios,Chelmno,Nowsza,38,86
Amelia,Nijak,Plonsk,Starsza,12,76
Kamil,Abac,Bydgoszcz,Stara,54,6
Bartek,Jakios,Plonsk,Starsza,4,48
Jan,Abac,Warszawa,Nowa,30,19
Bartek,Nowak,Bydgoszcz,Stara,63,71
Kamil,Jakios,Chelmno,Nowsza,57,28
Amelia,Nijak,Plonsk,Starsza,61,111
Jan,Nowak,Bydgoszcz,Nowsza,3,126
Bartek,Nowak,Bydgoszcz,Stara,63,132
Kamil,Jakios,Chelmno,Nowsza,47,101
Amelia,Nijak,Plonsk,Starsza,42,85
Jan,Abac,Plonsk,Nowsza,79,140
Kamil,Jakios,Warszawa,Nowsza,60,51
Jan,Abac,Warszawa,Nowa,56,76
Bartek,Nowak,Bydgoszcz,Stara,58,90
Kamil,Jakios,Chelmno,Nowsza,88,84
Amelia,Nijak,Plonsk,Starsza,71,63
Kamil,Nowak,Plonsk,Nowsza,74,60
Bartek,Nowak,Bydgoszcz,Stara,88,44
Kamil,Jakios,Chelmno,Nowsza,50,40
Amelia,Nijak,Plonsk,Starsza,49,147
Kamil,Nijak,Plonsk,Stara,27,150
Bartek,Jakios,Plonsk,Starsza,34,10
Jan,Abac,Warszawa,Nowa,83,46
Bartek,Nowak,Bydgoszcz,Stara,57,125
Kamil,Jakios,Chelmno,Nowsza,78,60
Amelia,Nijak,Plonsk,Starsza,14,7
Jan,Abac,Chelmno,Nowa,92,133
Bartek,Nowak,Bydgoszcz,Stara,30,56
Kamil,Jakios,Chelmno,Nowsza,76,33
Amelia,Nijak,Plonsk,Starsza,53,126
Kamil,Jakios,Chelmno,Nowa,4,148
Amelia,Nowak,Warszawa,Nowa,72,14
Jan,Abac,Warszawa,Nowa,47,13
Bartek,Nowak,Bydgoszcz,Stara,18,139
Kamil,Jakios,Chelmno,Nowsza,47,5
Amelia,Nijak,Plonsk,Starsza,59,67
Bartek,Nijak,Warszawa,Stara,68,124
Bartek,Nowak,Bydgoszcz,Stara,28,12
Kamil,Jakios,Chelmno,Nowsza,68,29
Amelia,Nijak,Plonsk,Starsza,65,58
Bartek,Jakios,Warszawa,Nowsza,83,17
Jan,Abac,Warszawa,Nowsza,48,76
Jan,Abac,Warszawa,Nowa,62,84
Bartek,Nowak,Bydgoszcz,Stara,6,99
Kamil,Jakios,Chelmno,Nowsza,38,42
Amelia,Nijak,Plonsk,Starsza,8,116
Bartek,Jakios,Plonsk,Nowa,75,106
Bartek,Nowak,Bydgoszcz,Stara,38,4
Kamil,Jakios,Chelmno,Nowsza,69,43
Amelia,Nijak,Plonsk,Starsza,61,55
Bartek,Nowak,Plonsk,Nowsza,32,82
Amelia,Jakios,Bydgoszcz,Nowa,59,35
Jan,Abac,Warszawa,Nowa,13,65
Bartek,Nowak,Bydgoszcz,Stara,36,84
